message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,notify,payment,active business relationship,0.87,message_0243;message_0102;message_0101
msg_091,notify,urgent,direct mention,0.97,message_0238;message_0381;message_0320
msg_090,digest,personal,personal is safe but non-urgent,0.79,message_0339;message_0338
msg_048,notify,urgent,trusted group admin,0.84,message_0151;message_0150;message_0100
msg_040,digest,forward,direct mention,0.69,message_0136;message_0135;message_0259
msg_075,digest,event,active business relationship,0.78,message_0206;message_0205;message_0294
msg_005,notify,urgent,direct mention,0.90,message_0065;message_0382;message_0049
msg_104,notify,personal,direct mention,0.92,message_0224;message_0383;message_0050
msg_069,mute,forward,forward is low-value for this user,0.69,message_0193;message_0177;message_0080
msg_107,mute,scam,safety risk detected,0.78,message_0235;message_0213;message_0195
msg_070,mute,scam,safety risk detected,0.78,message_0369;message_0235;message_0213
msg_003,notify,business_update,direct mention; active business relationship,0.86,message_0400;message_0031;message_0061
msg_099,notify,urgent,direct mention,0.97,message_0227;message_0249;message_0117
msg_008,notify,business_update,direct mention; active business relationship,0.86,message_0296;message_0072;message_0071
msg_092,digest,business_update,business update is safe but non-urgent,0.65,message_0346;message_0344;message_0345
msg_060,digest,promotion,trusted group admin,0.62,message_0284;message_0176;message_0375
msg_004,digest,event,active business relationship,0.78,message_0245;message_0005;message_0246
msg_030,mute,forward,forward is low-value for this user,0.69,message_0115;message_0335;message_0050
msg_045,digest,unknown,unknown is safe but non-urgent,0.62,message_0061;message_0146;message_0027
msg_052,digest,business_update,business update is safe but non-urgent,0.62,message_0208;message_0207;message_0159
msg_009,digest,unknown,unknown is safe but non-urgent,0.62,message_0074;message_0073;message_0032
msg_071,digest,unknown,unknown is safe but non-urgent,0.62,message_0197;message_0198
msg_016,mute,scam,safety risk detected,0.78,message_0024;message_0201;message_0183
msg_065,digest,promotion,direct mention; active business relationship,0.78,message_0261;message_0260;message_0185
msg_038,mute,forward,forward is low-value for this user,0.69,message_0131;message_0132;message_0408
msg_086,digest,business_update,active business relationship,0.73,message_0222
msg_014,digest,promotion,active business relationship,0.65,message_0258;message_0018;message_0017
msg_094,mute,promotion,promotion is low-value for this user,0.67,message_0356;message_0357;message_0223
msg_029,mute,forward,forward is low-value for this user,0.69,message_0113;message_0095;message_0332
msg_105,digest,forward,forward is safe but non-urgent,0.72,message_0373;message_0233;message_0122
msg_002,notify,event,trusted group admin; direct mention,0.88,message_0169;message_0059;message_0003
